"locusName"	"Short_description"	"Arabidopsis_homolog"	"Arabidopsis_homolog_defline"	"Clamy_homolog"	"Clamy_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Solyc02g083730"	"Rhodanese-like domain"	""	""	""	""	"LOC_Os02g01220"	"rhodanese-like domain containing protein, putative, expressed"
"Solyc02g083740"	"Oligopeptide transporter"	""	""	""	""	""	""
"Solyc02g083760"	"Thaumatin-like protein.1"	""	""	"Cre02.g102300"	"(1 of 1) PTHR31013:SF2 - PROTEIN THN-1-RELATED"	"LOC_Os08g43510"	"thaumatin, putative, expressed"
"Solyc02g083790"	"Thaumatin-like protein.1"	"AT4G36010"	"Pathogenesis-related thaumatin superfamily protein"	"Cre02.g102300"	"(1 of 1) PTHR31013:SF2 - PROTEIN THN-1-RELATED"	"LOC_Os10g05660"	"thaumatin, putative, expressed"
"Solyc02g083870"	"Gibberellin-regulated protein 3"	""	""	""	""	""	""
"Solyc02g083880"	"Gibberellin-regulated protein 3"	""	""	""	""	""	""
"Solyc02g083890"	"Chalcone-flavanone isomerase family protein"	"AT5G66230"	"Chalcone-flavanone isomerase family protein"	""	""	"LOC_Os10g42660"	"expressed protein"
"Solyc02g083930"	"BnaCnng52580D protein"	""	""	""	""	"LOC_Os10g09760"	"expressed protein"
"Solyc02g083940"	"Transducin/WD40 repeat-like superfamily protein"	"AT5G66240"	"Transducin/WD40 repeat-like superfamily protein"	""	""	"LOC_Os07g40030"	"WD domain, G-beta repeat domain containing protein, expressed"
"Solyc02g084000"	"Transcription initiation factor TFIID subunit 14b"	""	""	"Cre06.g284050"	"Transcription activation factor, putative SWR-C component"	""	""
"Solyc02g084170"	"ATP-dependent Clp protease"	""	""	""	""	""	""
"Solyc02g084230"	"GAGA-binding transcriptional activator"	""	""	""	""	""	""
"Solyc02g084280"	"nuclear pore complex protein NUP98B-like isoform X4"	""	""	""	""	""	""
"Solyc02g084290"	"CTP synthase 2 isoform .1"	""	""	""	""	""	""
"Solyc02g084340"	"Pre-mRNA-splicing factor CWC25-like protein"	"AT2G44200"	"CBF1-interacting co-repressor CIR, N-terminal;Pre-mRNA splicing factor"	"Cre01.g021400"	"Pre-mRNA splicing factor"	"LOC_Os08g39090"	"coiled-coil domain containing 49, putative, expressed"
"Solyc02g084400"	"Protein kinase superfamily protein"	"AT1G11390"	"Protein kinase superfamily protein"	"Cre01.g031900"	"(1 of 3) PTHR10566:SF76 - PROTEIN Y32H12A.7"	""	""
"Solyc02g084410"	"Lactoylglutathione lyase"	""	""	""	""	""	""
"Solyc02g084430"	"B-box zinc finger protein 19"	""	""	""	""	""	""
"Solyc02g084480"	"golgin candidate 6-like isoform X2"	""	""	""	""	""	""
"Solyc02g084540"	"Transmembrane/coiled-coil protein (DUF726)"	""	""	""	""	""	""
"Solyc02g084560"	"Coiled-coil domain-containing protein 90B, mitochondrial"	""	""	"Cre09.g388400"	"Chloroplast tscA maturation factor"	""	""
"Solyc02g084610"	"Leucine-rich repeat receptor-like protein kinase PXL2"	"AT5G66330"	"Leucine-rich repeat (LRR) family protein"	"Cre11.g467642"	"(1 of 2) PTHR27000//PTHR27000:SF119 - FAMILY NOT NAMED // LEUCINE-RICH REPEAT RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE BAM2-RELATED"	"LOC_Os02g43250"	"receptor-like protein kinase precursor, putative, expressed"
"Solyc02g084620"	"Forkhead-associated (FHA) domain"	"AT1G75530"	"Forkhead-associated (FHA) domain-containing protein"	""	""	""	""
"Solyc02g084650"	"UPF06.1"	""	""	""	""	""	""
"Solyc02g084670"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	"AT3G51070"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	""	""	""	""
"Solyc02g084680"	"Protein SHI RELATED SEQUENCE 5"	""	""	""	""	"LOC_Os06g49830"	"SHI, putative, expressed"
"Solyc02g084700"	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein"	"AT4G36290"	"compromised recognition of TCV 1"	""	""	"LOC_Os10g10190"	"ATP-binding region, ATPase-like domain containing protein, expressed"
"Solyc02g084760"	"Ubiquitin-conjugating enzyme"	"AT5G42990"	"ubiquitin-conjugating enzyme 18"	"Cre02.g141450"	"E2 Ubiquitin conjugating enzyme"	"LOC_Os03g47770"	"ubiquitin-conjugating enzyme E2 W, putative, expressed"
"Solyc02g084770"	"Mitochondrial carrier protein, expressed"	"AT5G66380"	"folate transporter 1"	"Cre16.g650200"	"Mitochondrial substrate carrier protein"	"LOC_Os03g52430"	"mitochondrial carrier protein, putative, expressed"
"Solyc02g084890"	"Disease resistance RPP13-like protein 4"	"AT3G50950"	"HOPZ-ACTIVATED RESISTANCE 1"	""	""	""	""
"Solyc02g084900"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"AT2G18193"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"Cre05.g234661"	"AAA ATPase"	""	""
"Solyc02g084940"	"Heavy metal-associated isoprenylated plant protein"	""	""	""	""	"LOC_Os04g56570"	"heavy metal-associated domain containing protein, expressed"
"Solyc02g084950"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	"AT4G36470"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	""	""	"LOC_Os01g50610"	"SAM dependent carboxyl methyltransferase, putative, expressed"
"Solyc02g084960"	"tRNA-methyltransferase non-catalytic subunit trm6MTase subunit"	"AT5G66440"	""	""	""	"LOC_Os05g50470"	"expressed protein"
"Solyc02g084970"	"Phosphatidic acid phosphatase"	"AT5G66450"	"Phosphatidic acid phosphatase (PAP2) family protein"	"Cre06.g295250"	"(1 of 1) K07252 - dolichyldiphosphatase (E3.6.1.43)"	"LOC_Os02g47570"	"phosphatase, putative, expressed"
"Solyc02g084980"	"Hexosyltransferase"	""	""	""	""	"LOC_Os03g20120"	"glycosyl transferase 8 domain containing protein, putative, expressed"
"Solyc02g085000"	"netrin receptor DCC"	"AT3G50910"	""	""	""	"LOC_Os02g47580"	"expressed protein"
"Solyc02g085040"	"GAMMA carbonic anhydrase"	"AT1G19580"	"gamma carbonic anhydrase 1"	"Cre09.g415850"	"Gamma carbonic anhydrase"	"LOC_Os01g18070"	"bacterial transferase hexapeptide domain containing protein, expressed"
"Solyc02g085080"	"alpha/beta-Hydrolases superfamily protein Chr3:6959644-6961367 FORWARD LENGTH=434 201606"	"AT2G18245"	"alpha/beta-Hydrolases superfamily protein"	"Cre08.g381650"	"(1 of 1) PTHR12265:SF0 - TRANSMEMBRANE PROTEIN 53"	"LOC_Os02g04110"	"expressed protein"
"Solyc02g085130"	"Tubby-like F-box protein"	"AT2G18280"	"tubby like protein 2"	"Cre12.g520650"	"Tubby-like protein"	"LOC_Os02g47640"	"OsFBT4 - F-box and tubby domain containing protein, expressed"
"Solyc02g085150"	"Late embryogenesis abundant (LEA) protein"	"AT4G36600"	"Late embryogenesis abundant (LEA) protein"	""	""	""	""
"Solyc02g085210"	"Protein-lysine N-methyltransferase rr.1"	"AT5G49560"	"Putative methyltransferase family protein"	""	""	"LOC_Os07g38220"	"expressed protein"
"Solyc02g085230"	"U3 small nucleolar RNA-associated protein 22"	"AT1G63810"	"(1 of 1) PTHR17972 - NUCLEOLAR RNA-ASSOCIATED PROTEIN"	"Cre07.g332800"	"(1 of 1) K14544 - U3 small nucleolar RNA-associated protein 22 (UTP22, NOL6)"	"LOC_Os12g06910"	"nucleolar protein family 6, putative, expressed"
"Solyc02g085300"	""	""	""	""	""	""	""
"Solyc02g085320"	""	""	""	""	""	""	""
"Solyc02g085330"	"late embryogenesis abundant protein"	"AT5G66780"	""	""	""	""	""
"Solyc02g085340"	"Transcription factor GRAS"	"AT5G66770"	"GRAS family transcription factor"	""	""	"LOC_Os03g51330"	"GRAS family transcription factor domain containing protein, expressed"
"Solyc02g085380"	"Protein LIKE COV 2"	"AT2G18460"	"like COV 3"	"Cre17.g741050"	"COV1-like protein"	""	""
"Solyc02g085400"	"Sulfite exporter TauE/SafE family protein"	""	""	""	""	""	""
"Solyc02g085450"	"F-box protein At5g07610-like"	""	""	""	""	""	""
"Solyc02g085480"	"DUF1195 domain-containing protein"	"AT5G65650"	"Protein of unknown function (DUF1195)"	""	""	"LOC_Os07g41660"	"expressed protein"
"Solyc02g085490"	"DUF620 domain-containing protein"	"AT5G66740"	"Protein of unknown function (DUF620)"	""	""	""	""
"Solyc02g085540"	"ESSS subunit of NADH:ubiquinone oxidoreductase (Complex I) protein"	"AT3G57785"	"(1 of 2) PF10183 - ESSS subunit of NADH:ubiquinone oxidoreductase (complex I) (ESSS)"	""	""	"LOC_Os09g31260"	"expressed protein"
"Solyc02g085600"	"Scarecrow-like protein 15"	"AT4G36710"	"GRAS family transcription factor"	""	""	""	""
"Solyc02g085630"	"Homeobox-leucine zipper protein ATHB-.1"	"AT4G36740"	"homeobox protein 40"	""	""	"LOC_Os03g10210"	"homeobox domain containing protein, expressed"
"Solyc02g085640"	"Xaa-Pro aminopeptidase 1"	"AT4G36760"	"aminopeptidase P1"	"Cre09.g408851"	"(1 of 1) PTHR10804//PTHR10804:SF87//PTHR10804:SF90 - PROTEASE FAMILY M24  METHIONYL AMINOPEPTIDASE, AMINOPEPTIDASE P // XAA-PRO AMINOPEPTIDASE 1 // SUBFAMILY NOT NAMED"	"LOC_Os06g45360"	"peptidase, M24 family protein, putative, expressed"
"Solyc02g085690"	"Ubiquitin-conjugating enzyme"	""	""	"Cre08.g370850"	"E2M Ubiquitin-Conjugating Enzyme"	""	""
"Solyc02g085700"	"geranylgeranyl pyrophosphate synthetase"	"AT4G36810"	"geranylgeranyl pyrophosphate synthase 1"	"Cre12.g484200"	"Geranylgeranyl pyrophosphate synthase, putative chloroplast precursor"	"LOC_Os07g39270"	"polyprenyl synthetase, putative, expressed"
"Solyc02g085710"	"Geranylgeranyl pyrophosphate synthase, chloroplastic"	""	""	""	""	""	""
"Solyc02g085740"	"atherin isoform X1"	""	""	""	""	"LOC_Os01g49930"	"expressed protein"
"Solyc02g085770"	"AWPM-19-like protein"	""	""	""	""	""	""
"Solyc02g085780"	"Regulator of chromosome condensation (RCC1) family protein"	"AT5G16040"	"Regulator of chromosome condensation (RCC1) family protein"	""	""	"LOC_Os08g33390"	"Regulator of chromosome condensation domain containing protein, expressed"
"Solyc02g085830"	"RAD23 protein"	""	""	""	""	""	""
"Solyc02g085910"	"LOB domain-containing protein"	"AT3G02550"	"LOB domain-containing protein 41"	""	""	"LOC_Os01g32770"	"DUF260 domain containing protein, putative, expressed"
"Solyc02g085920"	"antigenic heat-stable protein"	"AT1G56420"	""	"Cre07.g357600"	""	"LOC_Os12g37390"	"expressed protein"
"Solyc02g085940"	"Ribulose bisphosphate carboxylase small chain"	"AT5G38430"	"Ribulose bisphosphate carboxylase (small chain) family protein"	""	""	"LOC_Os12g19381"	"ribulose bisphosphate carboxylase small chain, chloroplast precursor, putative, expressed"
"Solyc02g085950"	"Ribulose bisphosphate carboxylase small chain"	"AT5G38430"	"Ribulose bisphosphate carboxylase (small chain) family protein"	"Cre02.g120150"	"ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit 2"	"LOC_Os12g19381"	"ribulose bisphosphate carboxylase small chain, chloroplast precursor, putative, expressed"
"Solyc02g085960"	""	""	""	""	""	""	""
"Solyc02g086000"	""	""	""	""	""	""	""
"Solyc02g086040"	"Alpha/beta-Hydrolases superfamily protein"	""	""	"Cre09.g390541"	"(1 of 4) 3.1.1.23 - Acylglycerol lipase / Monoacylglycerol lipase"	""	""
"Solyc02g086050"	"Abscisic acid (Aba)-deficient 4"	"AT1G67080"	"abscisic acid (aba)-deficient 4"	"Cre06.g255300"	"Conserved in the Green Lineage and Diatoms"	"LOC_Os01g03750"	"expressed protein"
"Solyc02g086110"	"peptidase M50B-like protein"	""	""	""	""	""	""
"Solyc02g086130"	"Zinc finger A20 and A.1"	"AT1G67040"	"(1 of 4) PTHR21726:SF29 - F1O19.10 PROTEIN"	""	""	""	""
"Solyc02g086140"	"homeobox Hox-B3-like protein"	"AT1G67035"	""	""	""	""	""
"Solyc02g086150"	"Peptidyl-tRNA hydrolase"	"AT5G16140"	"Peptidyl-tRNA hydrolase family protein"	"Cre02.g076600"	"(1 of 1) K01056 - peptidyl-tRNA hydrolase, PTH1 family [3.1.1.29] (PTH1, pth, spoVC)"	""	""
"Solyc02g086170"	"hypothetical protein"	"AT5G16160"	""	""	""	"LOC_Os01g49490"	"expressed protein"
"Solyc02g086210"	"Protein kinase family protein"	""	""	""	""	""	""
"Solyc02g086250"	"titan9"	"AT3G20070"	"titan9"	""	""	"LOC_Os06g13640"	"expressed protein"
"Solyc02g086260"	"50S ribosomal-like protein"	"AT1G66890"	"(1 of 2) PTHR34542:SF1 - 50S RIBOSOMAL PROTEIN RELATED PROTEIN"	""	""	""	""
"Solyc02g086290"	"Protein kinase, catalytic domain-containing protein"	"AT1G66940"	"protein kinase-related"	""	""	""	""
"Solyc02g086310"	"lipid-transfer protein 7k-LTP precursor"	""	""	""	""	""	""
"Solyc02g086350"	"Protein PLASTID MOVEMENT IMPAIRED 2"	"AT1G66840"	"Plant protein of unknown function (DUF827)"	""	""	"LOC_Os01g49740"	"expressed protein"
"Solyc02g086360"	"Octicosapeptide/Phox/Bem1p family protein"	""	""	""	""	""	""
"Solyc02g086370"	"Lipid phosphate phosphatase"	"AT3G02600"	"lipid phosphate phosphatase 3"	"Cre05.g230900"	"(1 of 2) PTHR10165//PTHR10165:SF35 - LIPID PHOSPHATE PHOSPHATASE // DIACYLGLYCEROL PYROPHOSPHATE PHOSPHATASE 1-RELATED"	""	""
"Solyc02g086380"	"keratin, type II cytoskeletal I"	""	""	""	""	""	""
"Solyc02g086450"	"Cyclin-dependent protein kinase inhibitor SMR6"	"AT5G40460"	"(1 of 2) PTHR33142:SF9 - CYCLIN-DEPENDENT PROTEIN KINASE INHIBITOR SMR2-RELATED"	""	""	""	""
"Solyc02g086470"	"Transducin/WD40 repeat-like superfamily protein"	"AT3G27640"	"Transducin/WD40 repeat-like superfamily protein"	""	""	"LOC_Os03g49200"	"WD domain, G-beta repeat domain containing protein, expressed"
"Solyc02g086630"	"Sister chromatid cohesion PDS5-like protein"	""	""	""	""	""	""
"Solyc02g086750"	"Tudor/PWWP/MBT superfamily protein"	"AT5G40340"	"Tudor/PWWP/MBT superfamily protein"	""	""	"LOC_Os05g38800"	"PWWP domain containing protein, expressed"
"Solyc02g086760"	"transmembrane protein"	"AT3G01516"	""	""	""	"LOC_Os01g47280"	"expressed protein"
"Solyc02g086780"	"Proteasome assembly chaperone 3"	"AT5G14710"	"(1 of 1) PTHR31051:SF1 - PROTEASOME ASSEMBLY CHAPERONE 3"	"Cre13.g571000"	"(1 of 1) K11877 - proteasome assembly chaperone 3 (PSMG3, PAC3)"	"LOC_Os10g25600"	"expressed protein"
"Solyc02g086810"	"Nipped-B-like protein"	"AT3G27880"	"Protein of unknown function (DUF1645)"	""	""	"LOC_Os01g47270"	"DUF1645 domain containing protein, putative, expressed"
"Solyc02g086840"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"AT3G27960"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	""	""	"LOC_Os02g47880"	"tetratricopeptide repeat domain containing protein, expressed"
"Solyc02g086890"	"Calcium homeostasis regulator CHo.1"	"AT3G55250"	"(1 of 1) PTHR36770:SF1 - CALCIUM HOMEOSTASIS REGULATOR-RELATED"	"Cre03.g183400"	"(1 of 1) PTHR36770:SF1 - CALCIUM HOMEOSTASIS REGULATOR-RELATED"	"LOC_Os05g45030"	"calcium homeostasis regulator CHoR1, putative, expressed"
"Solyc02g086900"	"HD domain-containing metal-dependent phosphohydrolase family protein"	"AT5G40270"	"HD domain-containing metal-dependent phosphohydrolase family protein"	"Cre09.g409801"	"(1 of 2) PTHR11373//PTHR11373:SF4 - SAM DOMAIN AND HD DOMAIN-CONTAINING PROTEIN-RELATED // DEOXYNUCLEOSIDE TRIPHOSPHATE TRIPHOSPHOHYDROLASE SAMHD1"	"LOC_Os01g01920"	"HD domain containing protein 2, putative, expressed"
"Solyc02g087010"	"NHL domain-containing protein"	""	""	""	""	""	""
"Solyc02g087030"	"NHL domain protein"	"AT3G01430"	"(1 of 2) PTHR13833:SF41 - NHL DOMAIN-CONTAINING PROTEIN"	""	""	"LOC_Os02g50940"	"NHL repeat-containing protein, putative, expressed"
"Solyc02g087120"	"Protein ALTERED XYLOGLUCAN 4-like"	""	""	""	""	""	""
"Solyc02g087210"	"Zinc finger A.1"	"AT3G28210"	"zinc finger (AN1-like) family protein"	""	""	"LOC_Os09g21710"	"AN1-like zinc finger domain containing protein, expressed"
"Solyc02g087260"	"DUF716 domain-containing protein"	"AT3G01360"	"Family of unknown function (DUF716)"	""	""	"LOC_Os06g13160"	"viral-response family protein, expressed"
"Solyc02g087300"	"WD40 repeat"	"AT2G30050"	"transducin family protein / WD-40 repeat family protein"	"Cre17.g715750"	"COP-II coat subunit"	"LOC_Os02g04320"	"WD domain, G-beta repeat domain containing protein, expressed"
"Solyc02g087330"	"B12D protein"	"AT3G48140"	"B12D protein"	""	""	"LOC_Os07g17330"	"B12D protein, putative, expressed"
"Solyc02g087340"	"Seed maturation-like protein"	"AT5G14970"	"(1 of 8) PF05542 - Protein of unknown function (DUF760) (DUF760)"	""	""	""	""
"Solyc02g087350"	"Hexosyltransferase"	"AT3G28340"	"galacturonosyltransferase-like 10"	""	""	""	""
"Solyc02g087390"	"Paired amphipathic helix protein Sin3-like 4"	"AT1G24230"	"Paired amphipathic helix (PAH2) superfamily protein"	""	""	""	""
"Solyc02g087420"	"spindle assembly checkpoint component"	"AT3G28370"	""	""	""	"LOC_Os06g13580"	"expressed protein"
"Solyc02g087440"	"DUF761 domain-containing protein"	"AT3G28420"	"Putative membrane lipoprotein"	""	""	""	""
"Solyc02g087450"	"hypothetical protein"	""	""	""	""	"LOC_Os02g37020"	"expressed protein"
"Solyc02g087480"	"Protein ENHANCED DISEASE RESISTANCE 2"	""	""	""	""	""	""
"Solyc02g087520"	"Thaumatin"	"AT5G40020"	"Pathogenesis-related thaumatin superfamily protein"	"Cre02.g102300"	"(1 of 1) PTHR31013:SF2 - PROTEIN THN-1-RELATED"	"LOC_Os10g27280"	"thaumatin, putative, expressed"
"Solyc02g087540"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"AT3G28510"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"Cre05.g234661"	"AAA ATPase"	"LOC_Os12g24320"	"ATPase 3, putative, expressed"
"Solyc02g087580"	"Actin cross-linking"	""	""	""	""	"LOC_Os07g09384"	"expressed protein"
"Solyc02g087600"	"DTW domain protein"	"AT2G41750"	"DTW domain-containing protein"	""	""	"LOC_Os12g04860"	"DTW domain containing protein, putative, expressed"
"Solyc02g087750"	"Ubiquitin-conjugating enzyme"	"AT2G02760"	"ubiquiting-conjugating enzyme 2"	"Cre06.g294850"	"Ubiquitin-conjugating enzyme E2"	"LOC_Os07g07240"	"ubiquitin-conjugating enzyme, putative, expressed"
"Solyc02g087760"	"SUN-like protein 7"	"AT1G74690"	"IQ-domain 31"	""	""	"LOC_Os05g45930"	"IQ calmodulin-binding motif family protein, putative, expressed"
"Solyc02g087970"	"Mini zinc finger protein"	""	""	""	""	""	""
"Solyc02g088010"	"Defective in cullin neddylation protein"	"AT3G28970"	"Domain of unknown function (DUF298)"	""	""	"LOC_Os07g43720"	"DCN1, putative, expressed"
"Solyc02g088080"	""	""	""	""	""	""	""
"Solyc02g088090"	"Calmodulin-like protein 45"	"AT3G29000"	"Calcium-binding EF-hand family protein"	""	""	"LOC_Os11g04770"	"EF hand family protein, putative, expressed"
"Solyc02g088130"	"transmembrane protein"	"AT3G29034"	""	""	""	""	""
"Solyc02g088160"	"Casparian strip membrane protein.1"	""	""	""	""	""	""
"Solyc02g088200"	"Putative eukaryotic LigT"	""	""	""	""	"LOC_Os01g13090"	"nucleic acid binding protein, putative, expressed"
"Solyc02g088210"	"SPX domain-containing protein 4"	"AT5G15330"	"SPX domain gene 4"	"Cre07.g325950"	"(1 of 2) PTHR10783//PTHR10783:SF44 - XENOTROPIC AND POLYTROPIC RETROVIRUS RECEPTOR 1-RELATED // SPX DOMAIN-CONTAINING PROTEIN 1-RELATED"	"LOC_Os03g61200"	"expressed protein"
"Solyc02g088220"	"Phosphate transporter PHO1-like protein 9"	"AT3G29060"	"EXS (ERD1/XPR1/SYG1) family protein"	""	""	""	""
"Solyc02g088230"	"Phosphate transporter PHO1-like protein 9"	"AT1G14040"	"EXS (ERD1/XPR1/SYG1) family protein"	""	""	""	""
"Solyc02g088240"	"Phosphate transporter PHO1-like protein 5"	"AT3G29060"	"EXS (ERD1/XPR1/SYG1) family protein"	""	""	""	""
"Solyc02g088270"	"hypothetical protein (DUF1997)"	""	""	""	""	"LOC_Os03g07200"	"expressed protein"
"Solyc02g088320"	"Protein ENHANCED DISEASE RESISTANCE 2-like"	""	""	""	""	""	""
"Solyc02g088370"	"SPFH/Band 7/PHB domain-containing membrane-associated protein family"	""	""	""	""	""	""
"Solyc02g088380"	"Early nodulin-like protein 20"	"AT2G27035"	"early nodulin-like protein 20"	""	""	"LOC_Os03g55120"	"plastocyanin-like domain containing protein, putative, expressed"
"Solyc02g088390"	"Lamin-like protein"	"AT5G15350"	"early nodulin-like protein 17"	"Cre14.g629050"	"(1 of 1) PF02298 - Plastocyanin-like domain (Cu_bind_like)"	"LOC_Os03g55120"	"plastocyanin-like domain containing protein, putative, expressed"
"Solyc02g088440"	""	""	""	""	""	""	""
"Solyc02g088480"	"T-box transcription factor%2C putative (DUF863)"	""	""	""	""	""	""
"Solyc02g088520"	""	""	""	""	""	""	""
"Solyc02g088530"	""	""	""	""	""	""	""
"Solyc02g088580"	"Plant calmodulin-binding protein-like protein"	"AT5G15430"	"Plant calmodulin-binding protein-related"	""	""	"LOC_Os03g11290"	"expressed protein"
"Solyc02g088680"	""	""	""	""	""	""	""
"Solyc02g088730"	"F-box protein"	"AT5G39250"	"F-box family protein"	""	""	"LOC_Os03g30920"	"OsFBX95 - F-box domain containing protein, expressed"
"Solyc02g088830"	"hydroxyproline-rich glycoprotein family protein Chr3:377122-377577 FORWARD LENGTH=126 201606"	""	""	""	""	""	""
"Solyc02g088900"	"TPT domain-containing protein"	"AT3G17430"	"Nucleotide-sugar transporter family protein"	""	""	"LOC_Os03g49570"	"domain of unknown function, DUF250 domain containing protein, expressed"
"Solyc02g088930"	"furry"	"AT5G08060"	""	"Cre12.g484700"	""	"LOC_Os01g55770"	"expressed protein"
"Solyc02g088950"	"DNA mismatch repair protein MLH3"	""	""	""	""	""	""
"Solyc02g088980"	"DNA mismatch repair protein MLH3"	""	""	""	""	""	""
"Solyc02g089020"	"TCP transcription factor 5"	""	""	""	""	"LOC_Os05g43760"	"TCP family transcription factor, putative, expressed"
"Solyc02g089030"	"LONGIFOLIA protein"	""	""	""	""	""	""
"Solyc02g089050"	"protein LONGIFOLIA 1-like"	""	""	""	""	""	""
"Solyc02g089060"	"Methyl esterase .1"	"AT3G29770"	"methyl esterase 11"	""	""	"LOC_Os07g41230"	"esterase, putative, expressed"
"Solyc02g089080"	"Protein RALF-like 27"	""	""	""	""	""	""
"Solyc02g089100"	"small acidic-like protein"	"AT3G02220"	"(1 of 1) KOG3241 - Uncharacterized conserved protein"	""	""	"LOC_Os01g55730"	"AGAP003732-PA, putative, expressed"
"Solyc02g089220"	"Regulator of chromosome condensation (RCC1) family protein"	"AT3G02300"	"Regulator of chromosome condensation (RCC1) family protein"	""	""	"LOC_Os03g40260"	"Regulator of chromosome condensation domain containing protein, expressed"
"Solyc02g089230"	"DSBA-like thioredoxin domain"	"AT5G38900"	"Thioredoxin superfamily protein"	"Cre12.g553700"	"Protein disulfide oxidoreductase"	""	""
"Solyc02g089250"	"Pollen Ole e.1"	"AT5G15780"	"Pollen Ole e 1 allergen and extensin family protein"	""	""	"LOC_Os10g13850"	"POEI17 - Pollen Ole e I allergen and extensin family protein precursor, expressed"
"Solyc02g089270"	""	""	""	""	""	""	""
"Solyc02g089300"	""	""	""	""	""	""	""
"Solyc02g089310"	"F-box/kelch-repeat protein"	"AT5G15710"	"Galactose oxidase/kelch repeat superfamily protein"	""	""	"LOC_Os04g57290"	"OsFBX153 - F-box domain containing protein, expressed"
"Solyc02g089320"	"Alpha/beta-Hydrolases superfamily protein"	"AT3G30380"	"alpha/beta-Hydrolases superfamily protein"	"Cre03.g207041"	"(1 of 2) KOG1552 - Predicted alpha/beta hydrolase"	"LOC_Os06g42730"	"OsPOP14 - Putative Prolyl Oligopeptidase homologue, expressed"
"Solyc02g089350"	"Gibberellin regulated protein"	""	""	""	""	"LOC_Os05g31280"	"GASR5 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
"Solyc02g089390"	"ARM repeat superfamily protein"	""	""	""	""	""	""
"Solyc02g089450"	"protein GLUTAMINE DUMPER 6-like"	""	""	""	""	""	""
"Solyc02g089460"	"protein GLUTAMINE DUMPER 6-like"	""	""	""	""	""	""
"Solyc02g089470"	"Protein GLUTAMINE DUMPER 5"	""	""	""	""	""	""
"Solyc02g089480"	"protein GLUTAMINE DUMPER 4-like"	""	""	""	""	""	""
"Solyc02g089510"	""	""	""	""	""	""	""
"Solyc02g089530"	""	""	""	""	""	""	""
"Solyc02g089600"	"Ribosomal RNA-processing protein 7"	"AT5G38720"	"(1 of 1) PTHR13191 - RIBOSOMAL RNA PROCESSING PROTEIN 7-RELATED"	"Cre01.g052200"	"(1 of 1) PTHR13191 - RIBOSOMAL RNA PROCESSING PROTEIN 7-RELATED"	"LOC_Os02g49620"	"expressed protein"
"Solyc02g089640"	"Cellulose-synthase-like C4"	"AT3G28180"	"Cellulose-synthase-like C4"	"Cre06.g268550"	"Cellulose-synthase-like 1"	""	""
"Solyc02g089650"	"hypothetical protein (DUF1262)"	"AT1G61600"	"Protein of unknown function (DUF1262)"	""	""	""	""
"Solyc02g089660"	"hypothetical protein"	""	""	""	""	"LOC_Os08g32120"	"expressed protein"
"Solyc02g089680"	"Protein trichome birefringence-like 19"	"AT5G15900"	"TRICHOME BIREFRINGENCE-LIKE 19"	""	""	"LOC_Os01g46400"	"expressed protein"
"Solyc02g089740"	""	""	""	""	""	""	""
"Solyc02g089780"	"dihydroflavonol 4-reductase/flavanone protein"	""	""	""	""	""	""
"Solyc02g089840"	"Calcium uniporter protein 2, mitochondrial"	""	""	"Cre17.g729200"	"(1 of 1) PF04678 - Mitochondrial calcium uniporter (MCU)"	""	""
"Solyc02g089850"	"Calcium uniporter protein 1, mitochondrial"	""	""	""	""	""	""
"Solyc02g089860"	"Elongation of fatty acids protein 3-like"	"AT4G36830"	"GNS1/SUR4 membrane protein family"	""	""	"LOC_Os12g43890"	"GNS1/SUR4 membrane family protein, putative, expressed"
"Solyc02g089880"	"Hexosyltransferase"	""	""	""	""	"LOC_Os03g47530"	"glycosyl transferase 8 domain containing protein, putative, expressed"
"Solyc02g089890"	"PQ-loop repeat family protein / transmembrane family protein"	"AT4G36850"	"PQ-loop repeat family protein / transmembrane family protein"	""	""	""	""
"Solyc02g089950"	"BTB/POZ domain-containing protein"	"AT3G50780"	""	""	""	"LOC_Os03g55950"	"H-BTB1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
"Solyc02g089960"	"transmembrane family 220 helix protein"	"AT2G23755"	"(1 of 1) PTHR34262:SF1 - TRANSMEMBRANE PROTEIN 220"	""	""	""	""
"Solyc02g089990"	"HTH-type transcriptional regulator"	"AT2G23690"	"(1 of 28) PF14009 - Domain of unknown function (DUF4228) (DUF4228)"	""	""	"LOC_Os07g03120"	"expressed protein"
